Time,Time Code,Country Name,Country Code,Control of Corruption: Estimate [CC.EST],Control of Corruption: Number of Sources [CC.NO.SRC],Control of Corruption: Percentile Rank [CC.PER.RNK],"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval [CC.PER.RNK.LOWER]","Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval [CC.PER.RNK.UPPER]",Control of Corruption: Standard Error [CC.STD.ERR],Government Effectiveness: Estimate [GE.EST],Government Effectiveness: Number of Sources [GE.NO.SRC],Government Effectiveness: Percentile Rank [GE.PER.RNK],"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval [GE.PER.RNK.LOWER]","Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval [GE.PER.RNK.UPPER]",Government Effectiveness: Standard Error [GE.STD.ERR],Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Political Stability and Absence of Violence/Terrorism: Number of Sources [PV.NO.SRC],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval [PV.PER.RNK.LOWER]","Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval [PV.PER.RNK.UPPER]",Political Stability and Absence of Violence/Terrorism: Standard Error [PV.STD.ERR],Regulatory Quality: Estimate [RQ.EST],Regulatory Quality: Number of Sources [RQ.NO.SRC],Regulatory Quality: Percentile Rank [RQ.PER.RNK],"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval [RQ.PER.RNK.LOWER]","Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval [RQ.PER.RNK.UPPER]",Regulatory Quality: Standard Error [RQ.STD.ERR],Rule of Law: Estimate [RL.EST],Rule of Law: Number of Sources [RL.NO.SRC],Rule of Law: Percentile Rank [RL.PER.RNK],"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval [RL.PER.RNK.LOWER]","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval [RL.PER.RNK.UPPER]",Rule of Law: Standard Error [RL.STD.ERR],Voice and Accountability: Estimate [VA.EST],Voice and Accountability: Number of Sources [VA.NO.SRC],Voice and Accountability: Percentile Rank [VA.PER.RNK],"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval [VA.PER.RNK.LOWER]","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval [VA.PER.RNK.UPPER]",Voice and Accountability: Standard Error [VA.STD.ERR]
2020,YR2020,Afghanistan,AFG,-1.49369978904724,9,4.7619047164917,0,10.4761905670166,0.157480105757713,-1.60950922966003,7,5.2380952835083,1.42857146263123,11.4285717010498,0.278781324625015,-2.70263171195984,5,0.471698105335236,0,2.35849046707153,0.24160347878933,-1.38916301727295,8,8.09523773193359,3.80952382087708,12.380952835083,0.214174583554268,-1.83137428760529,10,2.38095235824585,0.952380955219269,4.7619047164917,0.155655145645142,-1.07768857479095,9,19.8067626953125,13.5265703201294,23.6714973449707,0.131611853837967
2020,YR2020,Albania,ALB,-0.572924494743347,9,31.4285717010498,22.8571434020996,43.8095245361328,0.149973630905151,-0.154880329966545,6,48.0952377319336,31.4285717010498,60.9523811340332,0.256462782621384,0.0885764509439468,6,50,35.8490562438965,60.8490562438965,0.232469826936722,0.221967235207558,7,58.5714302062988,45.238094329834,71.9047622680664,0.221013695001602,-0.376249194145203,10,40,29.5238094329834,48.0952377319336,0.142738118767738,0.0864025726914406,10,51.2077293395996,40.5797119140625,57.0048294067383,0.1251250654459
2020,YR2020,Algeria,DZA,-0.66646021604538,6,27.619047164917,18.0952377319336,41.4285697937012,0.18509666621685,-0.573433458805084,6,31.9047622680664,16.1904754638672,46.6666679382324,0.246358692646027,-0.847814321517944,5,17.9245281219482,11.3207550048828,28.301887512207,0.237614139914513,-1.35530030727386,5,8.5714282989502,3.80952382087708,14.7619047164917,0.247676745057106,-0.800302982330322,8,22.380952835083,14.2857141494751,31.9047622680664,0.165849134325981,-1.0879522562027,9,19.3236713409424,13.5265703201294,23.1884059906006,0.126623094081879
2020,YR2020,American Samoa,ASM,1.26600527763367,1,88.5714263916016,73.8095245361328,95.2380981445313,0.378925621509552,0.632899343967438,1,72.8571395874023,46.6666679382324,90,0.492229521274567,1.09160161018372,2,87.7358474731445,64.6226425170898,99.0566024780273,0.320048034191132,0.525310516357422,1,70.476188659668,39.523811340332,90,0.516059041023254,1.11943030357361,1,84.2857131958008,59.523811340332,99.523811340332,0.52329158782959,0.952043473720551,1,77.7777786254883,45.8937187194824,100,0.578547716140747
2020,YR2020,Andorra,AND,1.26600527763367,1,88.5714263916016,73.8095245361328,95.2380981445313,0.378925621509552,1.74941408634186,1,95.7142868041992,80,100,0.492229521274567,1.58857178688049,3,99.0566024780273,88.6792449951172,100,0.27869239449501,1.33542132377625,1,88.5714263916016,68.0952377319336,99.523811340332,0.516059041023254,1.61627840995789,1,92.8571395874023,75.2380981445313,100,0.52329158782959,1.08625340461731,2,83.0917892456055,70.5314025878906,95.6521759033203,0.225096970796585
2020,YR2020,Angola,AGO,-0.938672542572021,9,18.5714282989502,10.9523811340332,27.1428565979004,0.16380886733532,-1.25839388370514,8,9.5238094329834,4.7619047164917,17.1428565979004,0.226563811302185,-0.600726008415222,6,24.5283012390137,15.0943393707275,39.1509437561035,0.217306077480316,-0.856853485107422,7,19.0476188659668,10.4761905670166,36.1904754638672,0.233334079384804,-0.95099937915802,10,18.0952377319336,9.5238094329834,26.1904754638672,0.159591346979141,-0.81600284576416,12,25.6038646697998,20.7729473114014,30.4347820281982,0.123469397425652
2020,YR2020,Anguilla,AIA,0.632469475269318,1,73.8095245361328,56.6666679382324,85.7142868041992,0.378925621509552,0.912028014659882,1,80,55.238094329834,94.7619018554688,0.492229521274567,1.50374293327332,2,98.5849075317383,82.0754699707031,100,0.307376354932785,0.930365979671478,1,79.523811340332,56.1904754638672,96.6666641235352,0.516059041023254,0.374158054590225,1,63.3333320617676,34.761905670166,86.1904754638672,0.52329158782959,..,..,..,..,..,..
2020,YR2020,Antigua and Barbuda,ATG,0.238533273339272,2,60.9523811340332,46.1904754638672,73.8095245361328,0.252231359481812,-0.204486712813377,1,44.2857131958008,14.7619047164917,70.9523773193359,0.492229521274567,0.929504930973053,4,79.7169799804688,61.3207550048828,96.2264175415039,0.270491451025009,0.497693717479706,2,68.5714263916016,47.6190490722656,83.3333358764648,0.371042728424072,0.407973527908325,3,64.2857131958008,48.0952377319336,80.9523773193359,0.337146520614624,0.742793262004852,2,71.0144958496094,58.937198638916,83.0917892456055,0.21028059720993
2020,YR2020,Argentina,ARG,-0.16378065943718,13,47.6190490722656,39.0476188659668,58.5714302062988,0.143402382731438,-0.253818213939667,9,43.3333320617676,28.5714282989502,56.6666679382324,0.231793165206909,-0.0720262452960014,7,45.2830200195313,31.1320762634277,56.6037750244141,0.226481333374977,-0.498344272375107,9,33.3333320617676,20,45.238094329834,0.202663421630859,-0.487334787845612,13,34.2857131958008,24.2857151031494,44.761905670166,0.146567493677139,0.585294365882874,13,65.7004852294922,58.4541053771973,71.4975814819336,0.127261951565742
2020,YR2020,Armenia,ARM,-0.00343869999051094,9,56.1904754638672,45.238094329834,61.4285697937012,0.157668769359589,-0.304616540670395,7,39.523811340332,24.761905670166,55.238094329834,0.249917417764664,-0.77164226770401,5,20.2830181121826,12.2641506195068,33.0188674926758,0.237614139914513,0.238748028874397,7,59.523811340332,45.238094329834,72.3809509277344,0.233334079384804,-0.125852257013321,10,49.523811340332,40,55.238094329834,0.149982377886772,0.0471597090363503,9,48.7922706604004,39.1304359436035,56.038646697998,0.130757629871368
