"ID";"Geslacht";"Persoonskenmerken";"UitstromersHoMetEnZonderDiploma";"Arbeidsmarktpositie";"Studierichting";"Peilmoment";"Perioden";"UitstromersHo_1"
"2144649";"3000   ";"A051735";"A043049";"A028813";"A042617";"A029078";"2015SJ00";"600"
"2144664";"3000   ";"A051735";"A043049";"A028813";"A042617";"A029079";"2015SJ00";"600"
"2144679";"3000   ";"A051735";"A043049";"A028813";"A042617";"A029080";"2015SJ00";"590"
"2144694";"3000   ";"A051735";"A043049";"A028813";"A042617";"A029081";"2015SJ00";"320"
"2144709";"3000   ";"A051735";"A043049";"A028813";"A042617";"A029082";"2015SJ00";"450"
"2144739";"3000   ";"A051735";"A043049";"A028813";"A042618";"A029077";"2015SJ00";"0"
"2144754";"3000   ";"A051735";"A043049";"A028813";"A042618";"A029078";"2015SJ00";"0"
"2144769";"3000   ";"A051735";"A043049";"A028813";"A042618";"A029079";"2015SJ00";"0"
"2144784";"3000   ";"A051735";"A043049";"A028813";"A042618";"A029080";"2015SJ00";"0"
"2144799";"3000   ";"A051735";"A043049";"A028813";"A042618";"A029081";"2015SJ00";"0"
"2144814";"3000   ";"A051735";"A043049";"A028813";"A042618";"A029082";"2015SJ00";"0"
"2144844";"3000   ";"A051735";"A043049";"A028814";"T001332";"A029077";"2015SJ00";"260"
"2144859";"3000   ";"A051735";"A043049";"A028814";"T001332";"A029078";"2015SJ00";"270"
"2144874";"3000   ";"A051735";"A043049";"A028814";"T001332";"A029079";"2015SJ00";"210"
"2144889";"3000   ";"A051735";"A043049";"A028814";"T001332";"A029080";"2015SJ00";"170"
"2144904";"3000   ";"A051735";"A043049";"A028814";"T001332";"A029081";"2015SJ00";"1150"
"2144919";"3000   ";"A051735";"A043049";"A028814";"T001332";"A029082";"2015SJ00";"530"
"2144949";"3000   ";"A051735";"A043049";"A028814";"A042609";"A029077";"2015SJ00";"30"
"2144964";"3000   ";"A051735";"A043049";"A028814";"A042609";"A029078";"2015SJ00";"40"
"2144979";"3000   ";"A051735";"A043049";"A028814";"A042609";"A029079";"2015SJ00";"20"
"2144994";"3000   ";"A051735";"A043049";"A028814";"A042609";"A029080";"2015SJ00";"10"
"2145009";"3000   ";"A051735";"A043049";"A028814";"A042609";"A029081";"2015SJ00";"50"
"2145024";"3000   ";"A051735";"A043049";"A028814";"A042609";"A029082";"2015SJ00";"30"
"2145054";"3000   ";"A051735";"A043049";"A028814";"A042610";"A029077";"2015SJ00";"10"
"2145069";"3000   ";"A051735";"A043049";"A028814";"A042610";"A029078";"2015SJ00";"0"
"2145084";"3000   ";"A051735";"A043049";"A028814";"A042610";"A029079";"2015SJ00";"10"
"2145099";"3000   ";"A051735";"A043049";"A028814";"A042610";"A029080";"2015SJ00";"10"
"2145114";"3000   ";"A051735";"A043049";"A028814";"A042610";"A029081";"2015SJ00";"20"
"2145129";"3000   ";"A051735";"A043049";"A028814";"A042610";"A029082";"2015SJ00";"10"
"2145159";"3000   ";"A051735";"A043049";"A028814";"A042611";"A029077";"2015SJ00";"0"
"2145174";"3000   ";"A051735";"A043049";"A028814";"A042611";"A029078";"2015SJ00";"0"
"2145189";"3000   ";"A051735";"A043049";"A028814";"A042611";"A029079";"2015SJ00";"0"
"2145204";"3000   ";"A051735";"A043049";"A028814";"A042611";"A029080";"2015SJ00";"0"
"2145219";"3000   ";"A051735";"A043049";"A028814";"A042611";"A029081";"2015SJ00";"0"
"2145234";"3000   ";"A051735";"A043049";"A028814";"A042611";"A029082";"2015SJ00";"0"
"2145264";"3000   ";"A051735";"A043049";"A028814";"A042612";"A029077";"2015SJ00";"50"
"2145279";"3000   ";"A051735";"A043049";"A028814";"A042612";"A029078";"2015SJ00";"60"
"2145294";"3000   ";"A051735";"A043049";"A028814";"A042612";"A029079";"2015SJ00";"50"
"2145309";"3000   ";"A051735";"A043049";"A028814";"A042612";"A029080";"2015SJ00";"50"
"2145324";"3000   ";"A051735";"A043049";"A028814";"A042612";"A029081";"2015SJ00";"240"
"2145339";"3000   ";"A051735";"A043049";"A028814";"A042612";"A029082";"2015SJ00";"110"
"2145369";"3000   ";"A051735";"A043049";"A028814";"A042613";"A029077";"2015SJ00";"10"
"2145384";"3000   ";"A051735";"A043049";"A028814";"A042613";"A029078";"2015SJ00";"10"
"2145399";"3000   ";"A051735";"A043049";"A028814";"A042613";"A029079";"2015SJ00";"10"
"2145414";"3000   ";"A051735";"A043049";"A028814";"A042613";"A029080";"2015SJ00";"10"
"2145429";"3000   ";"A051735";"A043049";"A028814";"A042613";"A029081";"2015SJ00";"70"
"2145444";"3000   ";"A051735";"A043049";"A028814";"A042613";"A029082";"2015SJ00";"10"
"2145474";"3000   ";"A051735";"A043049";"A028814";"A042614";"A029077";"2015SJ00";"110"
